City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
215,Cabatuan,PH,2021-12-04 19:59:50,10.8794,122.486,72.41,89,62,12.95
216,El Reno,US,2021-12-04 19:59:50,35.5323,-97.955,56.55,71,90,0.0
217,Provideniya,RU,2021-12-04 19:59:50,64.3833,-173.3,14.23,87,94,3.09
218,Libreville,GA,2021-12-04 19:59:50,0.3925,9.4537,77.02,94,40,4.61
219,Quelimane,MZ,2021-12-04 19:59:51,-17.8786,36.8883,82.35,74,0,18.01
220,Havre-Saint-Pierre,CA,2021-12-04 19:59:51,50.2334,-63.5986,26.96,43,40,23.02
221,Alice Springs,AU,2021-12-04 19:59:51,-23.7,133.8833,74.75,29,47,12.66
222,Saint-Francois,FR,2021-12-04 19:59:52,46.4154,3.9054,41.47,87,75,4.61
223,Narsaq,GL,2021-12-04 19:59:52,60.9167,-46.05,30.38,72,100,11.99
224,Namakkal,IN,2021-12-04 20:00:52,11.2213,78.1652,74.16,92,52,2.37
225,Morant Bay,JM,2021-12-04 20:00:53,17.8815,-76.4093,81.66,72,100,9.24
226,Dingle,PH,2021-12-04 20:00:53,10.9995,122.6711,71.46,92,37,8.75
227,Damietta,EG,2021-12-04 20:00:53,31.4165,31.8133,65.5,51,100,10.76
228,Trinidad,BO,2021-12-04 20:00:53,-14.8333,-64.9,91.98,54,75,5.91
229,Lagos,NG,2021-12-04 20:00:00,6.5833,3.75,84.52,84,73,5.41
230,Jiuquan,CN,2021-12-04 19:56:27,39.7432,98.5174,28.69,27,6,1.7
231,Kawambwa,ZM,2021-12-04 20:00:54,-9.7915,29.0791,69.37,53,29,2.8
232,Phangnga,TH,2021-12-04 20:00:54,8.4509,98.5298,77.04,83,92,6.2
233,Praia,CV,2021-12-04 20:00:54,14.9215,-23.5087,74.59,75,100,14.72
234,Okha,RU,2021-12-04 20:00:55,53.5739,142.9478,-2.97,88,5,11.1
235,Kieta,PG,2021-12-04 20:00:55,-6.2167,155.6333,79.97,81,100,3.29
236,Omaruru,NA,2021-12-04 20:00:55,-21.4333,15.9333,64.71,32,0,7.83
237,Oranjemund,NA,2021-12-04 20:00:56,-28.55,16.4333,61.57,86,95,4.47
238,Riyadh,SA,2021-12-04 20:00:02,24.6877,46.7219,60.06,28,4,4.21
239,Korla,CN,2021-12-04 20:00:56,41.7597,86.1469,27.54,58,91,3.56
240,Scarborough,GB,2021-12-04 20:00:56,54.2797,-0.4044,37.9,89,99,1.01
241,Pierre,US,2021-12-04 19:56:16,44.3683,-100.351,40.05,43,100,4.0
242,Anloga,GH,2021-12-04 20:00:57,5.7947,0.8973,83.17,78,70,10.98
243,Leningradskiy,RU,2021-12-04 20:00:57,69.3833,178.4167,-16.31,97,97,5.17
244,Biabou,VC,2021-12-04 20:00:57,13.2,-61.1333,81.5,72,99,14.32
245,Zhifang,CN,2021-12-04 20:00:58,30.35,114.3167,50.43,48,1,2.84
246,Sisimiut,GL,2021-12-04 20:00:58,66.9395,-53.6735,35.96,86,100,11.43
247,Komsomolskiy,UZ,2021-12-04 20:00:58,40.4272,71.7189,38.12,70,100,6.91
248,Kapit,MY,2021-12-04 19:59:20,2.0167,112.9333,73.45,99,76,0.89
249,Sechura,PE,2021-12-04 20:00:58,-5.5569,-80.8222,76.78,58,44,14.43
250,Bacolod,PH,2021-12-04 20:00:59,10.6667,122.95,75.61,83,75,13.73
251,Cabo San Lucas,MX,2021-12-04 20:00:59,22.8909,-109.9124,87.51,53,76,3.0
252,Lompoc,US,2021-12-04 20:00:59,34.6391,-120.4579,64.56,74,90,4.0
253,Hervey Bay,AU,2021-12-04 20:01:00,-25.2986,152.8535,74.03,77,59,8.86
254,Zhukovka,RU,2021-12-04 20:01:00,53.534,33.728,26.87,95,100,6.51
255,Medicine Hat,CA,2021-12-04 20:01:00,50.0501,-110.6683,30.63,85,90,3.0
256,Chapleau,CA,2021-12-04 20:01:00,47.8405,-83.4034,21.78,86,100,9.51
257,Huallanca,PE,2021-12-04 20:01:01,-9.8993,-76.9417,55.47,69,100,4.14
258,Isangel,VU,2021-12-04 20:01:01,-19.55,169.2667,79.41,81,100,9.78
259,Luderitz,NA,2021-12-04 20:01:01,-26.6481,15.1594,61.2,90,2,5.66
260,Harrai,IN,2021-12-04 20:01:02,22.6167,79.2167,61.54,50,18,1.63
261,Zilair,RU,2021-12-04 20:01:02,52.2332,57.4392,27.25,88,100,12.44
262,Bhadasar,IN,2021-12-04 20:01:02,28.2833,74.3167,65.03,50,0,0.98
263,Abha,SA,2021-12-04 20:00:11,18.2164,42.5053,55.17,38,0,0.4
264,Salamanca,ES,2021-12-04 19:58:45,40.8333,-6.0,43.99,88,4,7.58
265,Namibe,AO,2021-12-04 20:01:03,-15.1961,12.1522,71.17,68,5,6.29
266,Panama City,PA,2021-12-04 20:01:03,8.9936,-79.5197,90.18,64,98,1.01
267,Olga,RU,2021-12-04 20:01:03,43.7444,135.2892,14.32,45,0,5.39
268,Khani,GE,2021-12-04 20:01:04,41.9563,42.9566,44.17,48,29,9.24
269,Berlevag,NO,2021-12-04 20:01:04,70.8578,29.0864,17.51,81,27,22.12
270,Avenal,US,2021-12-04 20:01:04,36.0041,-120.129,46.22,55,0,2.86
271,Thompson,CA,2021-12-04 20:02:04,55.7435,-97.8558,-5.64,77,75,6.91
272,Mehran,IR,2021-12-04 20:02:05,33.1222,46.1646,57.74,36,71,2.84
273,Puerto Escondido,MX,2021-12-04 20:02:05,15.85,-97.0667,86.7,50,0,6.33
274,Dolinsk,RU,2021-12-04 20:02:05,47.35,142.8,10.26,85,28,5.08
275,Kawalu,ID,2021-12-04 20:02:06,-7.3817,108.2082,72.9,94,100,0.98
276,Boca Do Acre,BR,2021-12-04 20:02:06,-8.7522,-67.3978,84.36,71,100,1.83
277,Dukat,RU,2021-12-04 20:02:06,62.55,155.55,-33.09,95,13,4.5
278,Vostok,RU,2021-12-04 20:02:06,46.4856,135.8833,-9.99,96,43,5.79
279,Urucara,BR,2021-12-04 20:02:07,-2.5364,-57.76,87.51,61,49,3.89
280,Lagoa,PT,2021-12-04 20:02:07,39.05,-27.9833,63.64,84,100,12.37
281,Guiong,PH,2021-12-04 20:02:07,6.4186,122.0258,77.76,84,93,5.66
282,Souillac,MU,2021-12-04 20:00:22,-20.5167,57.5167,78.37,79,6,10.54
283,Beatrice,US,2021-12-04 20:02:08,40.2681,-96.747,47.86,53,1,12.66
284,Mishelevka,RU,2021-12-04 20:02:08,52.8575,103.1719,14.63,95,79,1.88
285,Moerai,PF,2021-12-04 20:02:08,-22.4333,-151.3333,77.38,79,14,11.34
286,Ishigaki,JP,2021-12-04 20:02:08,24.3448,124.1572,69.15,62,92,20.33
287,Liuzhou,CN,2021-12-04 20:02:09,24.3126,109.3892,52.88,51,10,4.16
288,Grand Island,US,2021-12-04 20:02:09,40.925,-98.342,42.08,81,90,11.5
289,Nome,US,2021-12-04 19:59:58,64.5011,-165.4064,-6.63,100,70,4.85
290,Talnakh,RU,2021-12-04 20:02:09,69.4865,88.3972,-27.51,99,100,1.68
291,Vila Velha,BR,2021-12-04 20:02:09,-20.3297,-40.2925,75.92,75,37,6.33
292,Lalsk,RU,2021-12-04 20:02:10,60.7415,47.5862,6.62,94,100,6.89
293,Oksfjord,NO,2021-12-04 20:02:10,70.2396,22.3479,14.92,82,4,8.03
294,Rio Grande,BR,2021-12-04 19:57:53,-32.035,-52.0986,77.11,78,91,15.3
