,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Cavalcante,BR,-13.7975,-47.4583,70.63,88,93,2.86,overcast clouds
273,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,88,75,5.01,broken clouds
274,Flinders,AU,-34.5833,150.8552,66.2,74,98,6.13,overcast clouds
275,Innisfail,AU,-17.5333,146.0333,83.88,59,66,9.66,broken clouds
276,Riachao Do Jacuipe,BR,-11.8069,-39.3856,74.03,85,19,10.76,few clouds
277,Eureka,US,40.8021,-124.1637,55.58,87,63,1.01,broken clouds
278,Jasper,US,37.2001,-94.3502,70.23,43,2,5.01,clear sky
279,Pangody,RU,65.85,74.4859,-28.44,100,30,7.65,scattered clouds
280,Hanna,CA,51.6334,-111.9018,5.02,76,53,5.99,broken clouds
281,San Carlos De Bariloche,AR,-41.1456,-71.3082,85.75,11,20,3.44,few clouds
282,Te Anau,NZ,-45.4167,167.7167,49.26,70,76,5.19,broken clouds
283,Sungaipenuh,ID,-2.0833,101.3833,63.72,96,99,1.28,light rain
284,Ambilobe,MG,-13.2,49.05,75.97,72,4,3.6,clear sky
285,Sola,VU,-13.8833,167.55,83.07,79,90,0.0,overcast clouds
286,Beringovskiy,RU,63.05,179.3167,7.29,80,100,37.58,overcast clouds
287,Bac Lieu,VN,9.285,105.7244,71.17,87,100,7.65,overcast clouds
288,Guerrero Negro,MX,27.9769,-114.0611,68.65,66,1,15.68,clear sky
289,Mazyr,BY,52.0495,29.2456,29.25,91,100,6.11,overcast clouds
290,Havoysund,NO,70.9963,24.6622,30.43,97,99,31.52,light snow
291,Touros,BR,-5.1989,-35.4608,83.3,78,72,15.86,broken clouds
292,Manyana,BW,-23.4,21.7167,71.28,65,49,6.15,scattered clouds
293,Faanui,PF,-16.4833,-151.75,81.34,66,34,17.13,scattered clouds
294,Samarai,PG,-10.6167,150.6667,82.53,75,99,8.39,overcast clouds
295,Taltal,CL,-25.4,-70.4833,67.42,65,26,6.44,scattered clouds
296,Thio,NC,-21.6167,166.2167,84.16,80,58,9.8,broken clouds
297,Hambantota,LK,6.1241,81.1185,77.05,89,9,6.96,clear sky
298,Trinidad,BO,-14.8333,-64.9,76.98,88,90,4.61,light rain
299,Tucupita,VE,9.0622,-62.051,74.8,92,45,4.72,scattered clouds
300,Bereda,ES,43.2686,-7.5406,49.41,100,96,3.76,overcast clouds
301,Mogadishu,SO,2.0371,45.3438,79.54,73,70,15.3,broken clouds
302,Castro,BR,-24.7911,-50.0119,64.58,86,91,4.59,overcast clouds
303,Lompoc,US,34.6391,-120.4579,82.02,59,1,14.97,clear sky
304,Aquiraz,BR,-3.9014,-38.3911,86.22,66,9,13.11,clear sky
305,Talnakh,RU,69.4865,88.3972,-16.8,99,100,13.67,snow
306,Maralal,KE,1.0968,36.698,58.06,83,100,6.42,overcast clouds
307,Mount Isa,AU,-20.7333,139.5,76.77,65,99,16.11,overcast clouds
308,Belmonte,BR,-15.8631,-38.8828,79.3,84,0,5.35,clear sky
309,Andilamena,MG,-17.0167,48.5833,62.55,89,31,5.35,scattered clouds
310,Kahului,US,20.8947,-156.47,76.84,81,90,4.61,light rain
311,Culleredo,ES,43.2879,-8.3886,52.84,88,75,5.75,broken clouds
312,Vyshhorod,UA,50.5848,30.4898,30.34,87,100,9.44,light snow
