City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
163,Avera,US,69.67,overcast clouds,33.194,-82.5271,
164,Diamantino,BR,78.17,moderate rain,-14.4086,-56.4461,Hotel Delta
165,Namatanai,PG,80.87,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
166,Two Hills,CA,0.48,broken clouds,53.7169,-111.7518,Junction Inn
167,Cabatuan,PH,71.89,broken clouds,10.8794,122.486,MVC Transient Room
168,Alice Springs,AU,72.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
169,Ostrovnoy,RU,8.76,broken clouds,68.0531,39.5131,
170,Pevek,RU,-8.59,overcast clouds,69.7008,170.3133,Severnoye Zoloto
171,Saint-Leu,RE,76.03,scattered clouds,-21.15,55.2833,La Caz Oceane
172,Grindavik,IS,40.95,heavy intensity rain,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
173,Kitale,KE,57.54,overcast clouds,1.0157,35.0062,Engo Airport resort
174,Chino Valley,US,69.67,clear sky,34.7575,-112.4538,Primrose Inn & Suites
175,Kavieng,PG,82.65,moderate rain,-2.5744,150.7967,Nusa Island Retreat
176,Ouadda,CF,74.73,overcast clouds,8.0777,22.4007,
177,Takoradi,GH,81.0,broken clouds,4.8845,-1.7554,Raybow International Hotel
178,Gat,IL,61.39,few clouds,31.61,34.7642,OlusHome
179,Anloga,GH,84.42,broken clouds,5.7947,0.8973,Pin Drop Hotel
180,Talcahuano,CL,65.88,clear sky,-36.7167,-73.1167,departamento comodo
181,Collie,AU,56.98,scattered clouds,-33.3667,116.15,Collie Ridge
182,Kabalo,CD,69.24,light rain,-6.05,26.9167,
183,Necochea,AR,66.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
184,Raga,SS,77.54,overcast clouds,8.4596,25.678,
185,Vargem Grande,BR,78.6,broken clouds,-3.5431,-43.9158,Pousada Thalajuy
186,Saint Anthony,US,39.25,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
187,Coihaique,CL,69.75,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
188,Koronowo,PL,33.53,overcast clouds,53.3137,17.937,Ośrodek Wypoczynkowy Nad Zatoką
189,Atambua,ID,75.13,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
190,Tolstoy-Yurt,RU,32.32,fog,43.4444,45.7722,
191,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Poutur Pousada
192,Torbay,CA,32.76,few clouds,47.6666,-52.7314,Gallows Cove
193,Saldanha,ZA,60.85,few clouds,-33.0117,17.9442,Blue Bay Lodge
194,Victoria,HK,64.33,scattered clouds,22.2855,114.1577,Mini Hotel Central
195,Bengkulu,ID,74.91,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
196,Laguna,US,69.64,broken clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
197,Coquimbo,CL,60.53,scattered clouds,-29.9533,-71.3436,Punto de encuentro
198,Mackay,AU,84.69,overcast clouds,-21.15,149.2,International Lodge Motel
199,Kadhan,PK,67.01,clear sky,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
200,Norman Wells,CA,-11.97,broken clouds,65.282,-126.8329,Heritage Hotel
201,Fallon,US,66.42,scattered clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
202,Saint-Raymond,CA,26.67,overcast clouds,45.467,-73.6095,Le Chabrol Hôtel et Suites
203,Plettenberg Bay,ZA,65.26,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
204,Krasnoselkup,RU,-35.61,scattered clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
205,Sinop,TR,47.62,few clouds,41.7711,34.8709,
206,Cayenne,GF,77.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
207,Anadyr,RU,5.5,heavy snow,64.75,177.4833,Отке17 — посуточная аренда жилья для командированных
208,Sinnamary,GF,77.99,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
209,Abha,SA,55.22,clear sky,18.2164,42.5053,Abha Hotel
210,Awbari,LY,51.6,clear sky,26.5921,12.7805,فندق أوباري
211,Barra Patuca,HN,80.29,clear sky,15.8,-84.2833,
212,Itanhem,BR,71.46,few clouds,-17.1664,-40.33,Hotel Resende
213,Kysyl-Syr,RU,-27.36,broken clouds,63.8986,122.7617,
214,Hamilton,US,61.43,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
215,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
216,Rio Negrinho,BR,63.95,overcast clouds,-26.2544,-49.5183,Pousada do Cassio
217,Sitka,US,35.49,light rain,57.0531,-135.33,Westmark Sitka
